time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-02T02:12:29.350Z,19.2161,-63.8985,17,3.12,md,9,254,1.4274,0.28,pr,pr2019245006,2019-09-02T05:50:36.641Z,"116km NE of Road Town, British Virgin Islands",earthquake,5.98,8.6,0.35,6,reviewed,pr,pr
2019-09-02T00:54:51.780Z,17.9068,-65.8891,8,2.74,md,18,306,0.1735,0.21,pr,pr2019245000,2019-09-02T02:26:46.040Z,"18km S of Emajagua, Puerto Rico",earthquake,1.19,1.39,0.5,14,reviewed,pr,pr
2019-09-01T23:35:06.760Z,35.6553333,-117.463,1.9,2.83,ml,36,42,0.03347,0.16,ci,ci39034088,2019-09-01T23:45:41.130Z,"14km SSW of Searles Valley, CA",earthquake,0.19,0.33,0.188,25,automatic,ci,ci
2019-09-01T23:19:17.545Z,53.0732,-168.7045,85.78,4.2,mb,,124,0.136,1.31,us,us70005b2g,2019-09-02T18:54:25.086Z,"18km NE of Nikolski, Alaska",earthquake,7.3,8.6,0.048,118,reviewed,us,us
2019-09-01T22:41:23.075Z,2.2093,96.6603,37.06,4.9,mb,,160,1.282,0.71,us,us70005b2b,2019-09-01T23:00:44.040Z,"43km SE of Sinabang, Indonesia",earthquake,7.8,7.8,0.076,54,reviewed,us,us
2019-09-01T22:30:05.020Z,35.1618333,-118.2056667,5.05,2.5,ml,61,24,0.1553,0.15,ci,ci39033976,2019-09-03T19:08:04.240Z,"12km NNW of Mojave, CA",earthquake,0.12,0.96,0.226,183,reviewed,ci,ci
2019-09-01T22:07:54.970Z,31.6795,-115.9128333,10.98,3.11,ml,12,128,0.3076,0.15,ci,ci39033896,2019-09-03T17:38:52.354Z,"62km E of Maneadero, B.C., MX",earthquake,0.37,0.83,0.162,53,reviewed,ci,ci
2019-09-01T21:40:19.720Z,19.0685,-66.1705,9,2.51,md,15,290,0.6918,0.23,pr,pr2019244014,2019-09-01T22:05:43.383Z,"67km N of San Juan, Puerto Rico",earthquake,2.04,2.75,0.36,15,reviewed,pr,pr
2019-09-01T21:32:17.362Z,-18.6071,-70.9799,35,5.1,mww,,139,0.618,1.09,us,us70005b1n,2019-09-02T10:14:22.431Z,"72km WSW of Arica, Chile",earthquake,5.9,2,0.071,19,reviewed,us,us
2019-09-01T20:49:46.651Z,38.7679,22.5752,10,3.8,mwr,,61,1.667,0.99,us,us70005b1c,2019-09-01T22:00:45.040Z,"8km SW of Molos, Greece",earthquake,4.5,1.9,0.075,17,reviewed,us,us
